HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Manchester City,Napoli,2011-2012,1,1,2
Villarreal,Bayern Munich,2011-2012,0,2,2
Bayern Munich,Manchester City,2011-2012,2,0,2
Napoli,Villarreal,2011-2012,2,0,2
Napoli,Bayern Munich,2011-2012,1,1,2
Manchester City,Villarreal,2011-2012,2,1,3
Bayern Munich,Napoli,2011-2012,3,2,5
Villarreal,Manchester City,2011-2012,0,3,3
Napoli,Manchester City,2011-2012,2,1,3
Bayern Munich,Villarreal,2011-2012,3,1,4
Manchester City,Bayern Munich,2011-2012,2,0,2
Villarreal,Napoli,2011-2012,0,2,2
Lille,CSKA Moscow,2011-2012,2,2,4
Internazionale,Trabzonspor,2011-2012,0,1,1
CSKA Moscow,Internazionale,2011-2012,2,3,5
Trabzonspor,Lille,2011-2012,1,1,2
CSKA Moscow,Trabzonspor,2011-2012,3,0,3
Lille,Internazionale,2011-2012,0,1,1
Trabzonspor,CSKA Moscow,2011-2012,0,0,0
Internazionale,Lille,2011-2012,2,1,3
CSKA Moscow,Lille,2011-2012,0,2,2
Trabzonspor,Internazionale,2011-2012,1,1,2
Lille,Trabzonspor,2011-2012,0,0,0
Internazionale,CSKA Moscow,2011-2012,1,2,3
Basel,Oțelul Galați,2011-2012,2,1,3
Benfica,Manchester United,2011-2012,1,1,2
Manchester United,Basel,2011-2012,3,3,6
Oțelul Galați,Benfica,2011-2012,0,1,1
Oțelul Galați,Manchester United,2011-2012,0,2,2
Basel,Benfica,2011-2012,0,2,2
Manchester United,Oțelul Galați,2011-2012,2,0,2
Benfica,Basel,2011-2012,1,1,2
Oțelul Galați,Basel,2011-2012,2,3,5
Manchester United,Benfica,2011-2012,2,2,4
Basel,Manchester United,2011-2012,2,1,3
Benfica,Oțelul Galați,2011-2012,1,0,1
Dinamo Zagreb,Real Madrid,2011-2012,0,1,1
Ajax,Lyon,2011-2012,0,0,0
Lyon,Dinamo Zagreb,2011-2012,2,0,2
Real Madrid,Ajax,2011-2012,3,0,3
Real Madrid,Lyon,2011-2012,4,0,4
Dinamo Zagreb,Ajax,2011-2012,0,2,2
Lyon,Real Madrid,2011-2012,0,2,2
Ajax,Dinamo Zagreb,2011-2012,4,0,4
Real Madrid,Dinamo Zagreb,2011-2012,6,2,8
Lyon,Ajax,2011-2012,0,0,0
Dinamo Zagreb,Lyon,2011-2012,1,7,8
Ajax,Real Madrid,2011-2012,0,3,3
Chelsea,Bayer Leverkusen,2011-2012,2,0,2
Genk,Valencia,2011-2012,0,0,0
Valencia,Chelsea,2011-2012,1,1,2
Bayer Leverkusen,Genk,2011-2012,2,0,2
Bayer Leverkusen,Valencia,2011-2012,2,1,3
Chelsea,Genk,2011-2012,5,0,5
Valencia,Bayer Leverkusen,2011-2012,3,1,4
Genk,Chelsea,2011-2012,1,1,2
Bayer Leverkusen,Chelsea,2011-2012,2,1,3
Valencia,Genk,2011-2012,7,0,7
Chelsea,Valencia,2011-2012,3,0,3
Genk,Bayer Leverkusen,2011-2012,1,1,2
Olympiacos,Marseille,2011-2012,0,1,1
Borussia Dortmund,Arsenal,2011-2012,1,1,2
Arsenal,Olympiacos,2011-2012,2,1,3
Marseille,Borussia Dortmund,2011-2012,3,0,3
Marseille,Arsenal,2011-2012,0,1,1
Olympiacos,Borussia Dortmund,2011-2012,3,1,4
Arsenal,Marseille,2011-2012,0,0,0
Borussia Dortmund,Olympiacos,2011-2012,1,0,1
Marseille,Olympiacos,2011-2012,0,1,1
Arsenal,Borussia Dortmund,2011-2012,2,1,3
Olympiacos,Arsenal,2011-2012,3,1,4
Borussia Dortmund,Marseille,2011-2012,2,3,5
Porto,Shakhtar Donetsk,2011-2012,2,1,3
APOEL,Zenit Saint Petersburg,2011-2012,2,1,3
Zenit Saint Petersburg,Porto,2011-2012,3,1,4
Shakhtar Donetsk,APOEL,2011-2012,1,1,2
Shakhtar Donetsk,Zenit Saint Petersburg,2011-2012,2,2,4
Porto,APOEL,2011-2012,1,1,2
Zenit Saint Petersburg,Shakhtar Donetsk,2011-2012,1,0,1
APOEL,Porto,2011-2012,2,1,3
Zenit Saint Petersburg,APOEL,2011-2012,0,0,0
Shakhtar Donetsk,Porto,2011-2012,0,2,2
Porto,Zenit Saint Petersburg,2011-2012,0,0,0
APOEL,Shakhtar Donetsk,2011-2012,0,2,2
Barcelona,Milan,2011-2012,2,2,4
Viktoria Plzeň,BATE Borisov,2011-2012,1,1,2
BATE Borisov,Barcelona,2011-2012,0,5,5
Milan,Viktoria Plzeň,2011-2012,2,0,2
Milan,BATE Borisov,2011-2012,2,0,2
Barcelona,Viktoria Plzeň,2011-2012,2,0,2
BATE Borisov,Milan,2011-2012,1,1,2
Viktoria Plzeň,Barcelona,2011-2012,0,4,4
BATE Borisov,Viktoria Plzeň,2011-2012,0,1,1
Milan,Barcelona,2011-2012,2,3,5
Barcelona,BATE Borisov,2011-2012,4,0,4
Viktoria Plzeň,Milan,2011-2012,2,2,4
Dinamo Zagreb,Porto,2012-2013,0,2,2
Paris Saint-Germain,Dynamo Kyiv,2012-2013,4,1,5
Dynamo Kyiv,Dinamo Zagreb,2012-2013,2,0,2
Porto,Paris Saint-Germain,2012-2013,1,0,1
Porto,Dynamo Kyiv,2012-2013,3,2,5
Dinamo Zagreb,Paris Saint-Germain,2012-2013,0,2,2
Dynamo Kyiv,Porto,2012-2013,0,0,0
Paris Saint-Germain,Dinamo Zagreb,2012-2013,4,0,4
Porto,Dinamo Zagreb,2012-2013,3,0,3
Dynamo Kyiv,Paris Saint-Germain,2012-2013,0,2,2
Dinamo Zagreb,Dynamo Kyiv,2012-2013,1,1,2
Paris Saint-Germain,Porto,2012-2013,2,1,3
Montpellier,Arsenal,2012-2013,1,2,3
Olympiacos,Schalke 04,2012-2013,1,2,3
Schalke 04,Montpellier,2012-2013,2,2,4
Arsenal,Olympiacos,2012-2013,3,1,4
Arsenal,Schalke 04,2012-2013,0,2,2
Montpellier,Olympiacos,2012-2013,1,2,3
Schalke 04,Arsenal,2012-2013,2,2,4
Olympiacos,Montpellier,2012-2013,3,1,4
Arsenal,Montpellier,2012-2013,2,0,2
Schalke 04,Olympiacos,2012-2013,1,0,1
Montpellier,Schalke 04,2012-2013,1,1,2
Olympiacos,Arsenal,2012-2013,2,1,3
Málaga,Zenit Saint Petersburg,2012-2013,3,0,3
Milan,Anderlecht,2012-2013,0,0,0
Zenit Saint Petersburg,Milan,2012-2013,2,3,5
Anderlecht,Málaga,2012-2013,0,3,3
Zenit Saint Petersburg,Anderlecht,2012-2013,1,0,1
Málaga,Milan,2012-2013,1,0,1
Anderlecht,Zenit Saint Petersburg,2012-2013,1,0,1
Milan,Málaga,2012-2013,1,1,2
Zenit Saint Petersburg,Málaga,2012-2013,2,2,4
Anderlecht,Milan,2012-2013,1,3,4
Málaga,Anderlecht,2012-2013,2,2,4
Milan,Zenit Saint Petersburg,2012-2013,0,1,1
Borussia Dortmund,Ajax,2012-2013,1,0,1
Real Madrid,Manchester City,2012-2013,3,2,5
Manchester City,Borussia Dortmund,2012-2013,1,1,2
Ajax,Real Madrid,2012-2013,1,4,5
Ajax,Manchester City,2012-2013,3,1,4
Borussia Dortmund,Real Madrid,2012-2013,2,1,3
Manchester City,Ajax,2012-2013,2,2,4
Real Madrid,Borussia Dortmund,2012-2013,2,2,4
Ajax,Borussia Dortmund,2012-2013,1,4,5
Manchester City,Real Madrid,2012-2013,1,1,2
Borussia Dortmund,Manchester City,2012-2013,1,0,1
Real Madrid,Ajax,2012-2013,4,1,5
Shakhtar Donetsk,FC Nordsjælland,2012-2013,2,0,2
Chelsea,Juventus,2012-2013,2,2,4
Juventus,Shakhtar Donetsk,2012-2013,1,1,2
FC Nordsjælland,Chelsea,2012-2013,0,4,4
FC Nordsjælland,Juventus,2012-2013,1,1,2
Shakhtar Donetsk,Chelsea,2012-2013,2,1,3
Juventus,FC Nordsjælland,2012-2013,4,0,4
Chelsea,Shakhtar Donetsk,2012-2013,3,2,5
FC Nordsjælland,Shakhtar Donetsk,2012-2013,2,5,7
Juventus,Chelsea,2012-2013,3,0,3
Shakhtar Donetsk,Juventus,2012-2013,0,1,1
Chelsea,FC Nordsjælland,2012-2013,6,1,7
Lille,BATE Borisov,2012-2013,1,3,4
Bayern Munich,Valencia,2012-2013,2,1,3
Valencia,Lille,2012-2013,2,0,2
BATE Borisov,Bayern Munich,2012-2013,3,1,4
BATE Borisov,Valencia,2012-2013,0,3,3
Lille,Bayern Munich,2012-2013,0,1,1
Valencia,BATE Borisov,2012-2013,4,2,6
Bayern Munich,Lille,2012-2013,6,1,7
BATE Borisov,Lille,2012-2013,0,2,2
Valencia,Bayern Munich,2012-2013,1,1,2
Lille,Valencia,2012-2013,0,1,1
Bayern Munich,BATE Borisov,2012-2013,4,1,5
Barcelona,Spartak Moscow,2012-2013,3,2,5
Celtic,Benfica,2012-2013,0,0,0
Spartak Moscow,Celtic,2012-2013,2,3,5
Benfica,Barcelona,2012-2013,0,2,2
Spartak Moscow,Benfica,2012-2013,2,1,3
Barcelona,Celtic,2012-2013,2,1,3
Benfica,Spartak Moscow,2012-2013,2,0,2
Celtic,Barcelona,2012-2013,2,1,3
Spartak Moscow,Barcelona,2012-2013,0,3,3
Benfica,Celtic,2012-2013,2,1,3
Barcelona,Benfica,2012-2013,0,0,0
Celtic,Spartak Moscow,2012-2013,2,1,3
Manchester United,Galatasaray,2012-2013,1,0,1
Braga,CFR Cluj,2012-2013,0,2,2
CFR Cluj,Manchester United,2012-2013,1,2,3
Galatasaray,Braga,2012-2013,0,2,2
Galatasaray,CFR Cluj,2012-2013,1,1,2
Manchester United,Braga,2012-2013,3,2,5
CFR Cluj,Galatasaray,2012-2013,1,3,4
Braga,Manchester United,2012-2013,1,3,4
Galatasaray,Manchester United,2012-2013,1,0,1
CFR Cluj,Braga,2012-2013,3,1,4
Manchester United,CFR Cluj,2012-2013,0,1,1
Braga,Galatasaray,2012-2013,1,2,3
Manchester United,Bayer Leverkusen,2013-2014,4,2,6
Real Sociedad,Shakhtar Donetsk,2013-2014,0,2,2
Shakhtar Donetsk,Manchester United,2013-2014,1,1,2
Bayer Leverkusen,Real Sociedad,2013-2014,2,1,3
Bayer Leverkusen,Shakhtar Donetsk,2013-2014,4,0,4
Manchester United,Real Sociedad,2013-2014,1,0,1
Shakhtar Donetsk,Bayer Leverkusen,2013-2014,0,0,0
Real Sociedad,Manchester United,2013-2014,0,0,0
Bayer Leverkusen,Manchester United,2013-2014,0,5,5
Shakhtar Donetsk,Real Sociedad,2013-2014,4,0,4
Manchester United,Shakhtar Donetsk,2013-2014,1,0,1
Real Sociedad,Bayer Leverkusen,2013-2014,0,1,1
Galatasaray,Real Madrid,2013-2014,1,6,7
Copenhagen,Juventus,2013-2014,1,1,2
Juventus,Galatasaray,2013-2014,2,2,4
Real Madrid,Copenhagen,2013-2014,4,0,4
Real Madrid,Juventus,2013-2014,2,1,3
Galatasaray,Copenhagen,2013-2014,3,1,4
Juventus,Real Madrid,2013-2014,2,2,4
Copenhagen,Galatasaray,2013-2014,1,0,1
Real Madrid,Galatasaray,2013-2014,4,1,5
Juventus,Copenhagen,2013-2014,3,1,4
Galatasaray,Juventus,2013-2014,1,0,1
Copenhagen,Real Madrid,2013-2014,0,2,2
Benfica,Anderlecht,2013-2014,2,0,2
Olympiacos,Paris Saint-Germain,2013-2014,1,4,5
Paris Saint-Germain,Benfica,2013-2014,3,0,3
Anderlecht,Olympiacos,2013-2014,0,3,3
Anderlecht,Paris Saint-Germain,2013-2014,0,5,5
Benfica,Olympiacos,2013-2014,1,1,2
Paris Saint-Germain,Anderlecht,2013-2014,1,1,2
Olympiacos,Benfica,2013-2014,1,0,1
Anderlecht,Benfica,2013-2014,2,3,5
Paris Saint-Germain,Olympiacos,2013-2014,2,1,3
Benfica,Paris Saint-Germain,2013-2014,2,1,3
Olympiacos,Anderlecht,2013-2014,3,1,4
Bayern Munich,CSKA Moscow,2013-2014,3,0,3
Viktoria Plzeň,Manchester City,2013-2014,0,3,3
CSKA Moscow,Viktoria Plzeň,2013-2014,3,2,5
Manchester City,Bayern Munich,2013-2014,1,3,4
CSKA Moscow,Manchester City,2013-2014,1,2,3
Bayern Munich,Viktoria Plzeň,2013-2014,5,0,5
Manchester City,CSKA Moscow,2013-2014,5,2,7
Viktoria Plzeň,Bayern Munich,2013-2014,0,1,1
CSKA Moscow,Bayern Munich,2013-2014,1,3,4
Manchester City,Viktoria Plzeň,2013-2014,4,2,6
Bayern Munich,Manchester City,2013-2014,2,3,5
Viktoria Plzeň,CSKA Moscow,2013-2014,2,1,3
Schalke 04,Steaua București,2013-2014,3,0,3
Chelsea,Basel,2013-2014,1,2,3
Basel,Schalke 04,2013-2014,0,1,1
Steaua București,Chelsea,2013-2014,0,4,4
Steaua București,Basel,2013-2014,1,1,2
Schalke 04,Chelsea,2013-2014,0,3,3
Basel,Steaua București,2013-2014,1,1,2
Chelsea,Schalke 04,2013-2014,3,0,3
Steaua București,Schalke 04,2013-2014,0,0,0
Basel,Chelsea,2013-2014,1,0,1
Schalke 04,Basel,2013-2014,2,0,2
Chelsea,Steaua București,2013-2014,1,0,1
Marseille,Arsenal,2013-2014,1,2,3
Napoli,Borussia Dortmund,2013-2014,2,1,3
Borussia Dortmund,Marseille,2013-2014,3,0,3
Arsenal,Napoli,2013-2014,2,0,2
Arsenal,Borussia Dortmund,2013-2014,1,2,3
Marseille,Napoli,2013-2014,1,2,3
Borussia Dortmund,Arsenal,2013-2014,0,1,1
Napoli,Marseille,2013-2014,3,2,5
Arsenal,Marseille,2013-2014,2,0,2
Borussia Dortmund,Napoli,2013-2014,3,1,4
Marseille,Borussia Dortmund,2013-2014,1,2,3
Napoli,Arsenal,2013-2014,2,0,2
Austria Wien,Porto,2013-2014,0,1,1
Atlético Madrid,Zenit Saint Petersburg,2013-2014,3,1,4
Zenit Saint Petersburg,Austria Wien,2013-2014,0,0,0
Porto,Atlético Madrid,2013-2014,1,2,3
Porto,Zenit Saint Petersburg,2013-2014,0,1,1
Austria Wien,Atlético Madrid,2013-2014,0,3,3
Zenit Saint Petersburg,Porto,2013-2014,1,1,2
Atlético Madrid,Austria Wien,2013-2014,4,0,4
Zenit Saint Petersburg,Atlético Madrid,2013-2014,1,1,2
Porto,Austria Wien,2013-2014,1,1,2
Austria Wien,Zenit Saint Petersburg,2013-2014,4,1,5
Atlético Madrid,Porto,2013-2014,2,0,2
Milan,Celtic,2013-2014,2,0,2
Barcelona,Ajax,2013-2014,4,0,4
Ajax,Milan,2013-2014,1,1,2
Celtic,Barcelona,2013-2014,0,1,1
Celtic,Ajax,2013-2014,2,1,3
Milan,Barcelona,2013-2014,1,1,2
Ajax,Celtic,2013-2014,1,0,1
Barcelona,Milan,2013-2014,3,1,4
Celtic,Milan,2013-2014,0,3,3
Ajax,Barcelona,2013-2014,2,1,3
Milan,Ajax,2013-2014,0,0,0
Barcelona,Celtic,2013-2014,6,1,7
Olympiacos,Atlético Madrid,2014-2015,3,2,5
Juventus,Malmö FF,2014-2015,2,0,2
Malmö FF,Olympiacos,2014-2015,2,0,2
Atlético Madrid,Juventus,2014-2015,1,0,1
Atlético Madrid,Malmö FF,2014-2015,5,0,5
Olympiacos,Juventus,2014-2015,1,0,1
Malmö FF,Atlético Madrid,2014-2015,0,2,2
Juventus,Olympiacos,2014-2015,3,2,5
Atlético Madrid,Olympiacos,2014-2015,4,0,4
Malmö FF,Juventus,2014-2015,0,2,2
Olympiacos,Malmö FF,2014-2015,4,2,6
Juventus,Atlético Madrid,2014-2015,0,0,0
Liverpool,Ludogorets Razgrad,2014-2015,2,1,3
Real Madrid,Basel,2014-2015,5,1,6
Basel,Liverpool,2014-2015,1,0,1
Ludogorets Razgrad,Real Madrid,2014-2015,1,2,3
Ludogorets Razgrad,Basel,2014-2015,1,0,1
Liverpool,Real Madrid,2014-2015,0,3,3
Basel,Ludogorets Razgrad,2014-2015,4,0,4
Real Madrid,Liverpool,2014-2015,1,0,1
Ludogorets Razgrad,Liverpool,2014-2015,2,2,4
Basel,Real Madrid,2014-2015,0,1,1
Liverpool,Basel,2014-2015,1,1,2
Real Madrid,Ludogorets Razgrad,2014-2015,4,0,4
Monaco,Bayer Leverkusen,2014-2015,1,0,1
Benfica,Zenit Saint Petersburg,2014-2015,0,2,2
Zenit Saint Petersburg,Monaco,2014-2015,0,0,0
Bayer Leverkusen,Benfica,2014-2015,3,1,4
Bayer Leverkusen,Zenit Saint Petersburg,2014-2015,2,0,2
Monaco,Benfica,2014-2015,0,0,0
Zenit Saint Petersburg,Bayer Leverkusen,2014-2015,1,2,3
Benfica,Monaco,2014-2015,1,0,1
Zenit Saint Petersburg,Benfica,2014-2015,1,0,1
Bayer Leverkusen,Monaco,2014-2015,0,1,1
Monaco,Zenit Saint Petersburg,2014-2015,2,0,2
Benfica,Bayer Leverkusen,2014-2015,0,0,0
Galatasaray,Anderlecht,2014-2015,1,1,2
Borussia Dortmund,Arsenal,2014-2015,2,0,2
Arsenal,Galatasaray,2014-2015,4,1,5
Anderlecht,Borussia Dortmund,2014-2015,0,3,3
Anderlecht,Arsenal,2014-2015,1,2,3
Galatasaray,Borussia Dortmund,2014-2015,0,4,4
Arsenal,Anderlecht,2014-2015,3,3,6
Borussia Dortmund,Galatasaray,2014-2015,4,1,5
Anderlecht,Galatasaray,2014-2015,2,0,2
Arsenal,Borussia Dortmund,2014-2015,2,0,2
Galatasaray,Arsenal,2014-2015,1,4,5
Borussia Dortmund,Anderlecht,2014-2015,1,1,2
Roma,CSKA Moscow,2014-2015,5,1,6
Bayern Munich,Manchester City,2014-2015,1,0,1
CSKA Moscow,Bayern Munich,2014-2015,0,1,1
Manchester City,Roma,2014-2015,1,1,2
CSKA Moscow,Manchester City,2014-2015,2,2,4
Roma,Bayern Munich,2014-2015,1,7,8
Manchester City,CSKA Moscow,2014-2015,1,2,3
Bayern Munich,Roma,2014-2015,2,0,2
CSKA Moscow,Roma,2014-2015,1,1,2
Manchester City,Bayern Munich,2014-2015,3,2,5
Roma,Manchester City,2014-2015,0,2,2
Bayern Munich,CSKA Moscow,2014-2015,3,0,3
Barcelona,APOEL,2014-2015,1,0,1
Ajax,Paris Saint-Germain,2014-2015,1,1,2
Paris Saint-Germain,Barcelona,2014-2015,3,2,5
APOEL,Ajax,2014-2015,1,1,2
APOEL,Paris Saint-Germain,2014-2015,0,1,1
Barcelona,Ajax,2014-2015,3,1,4
Paris Saint-Germain,APOEL,2014-2015,1,0,1
Ajax,Barcelona,2014-2015,0,2,2
APOEL,Barcelona,2014-2015,0,4,4
Paris Saint-Germain,Ajax,2014-2015,3,1,4
Barcelona,Paris Saint-Germain,2014-2015,3,1,4
Ajax,APOEL,2014-2015,4,0,4
Chelsea,Schalke 04,2014-2015,1,1,2
Maribor,Sporting CP,2014-2015,1,1,2
Sporting CP,Chelsea,2014-2015,0,1,1
Schalke 04,Maribor,2014-2015,1,1,2
Schalke 04,Sporting CP,2014-2015,4,3,7
Chelsea,Maribor,2014-2015,6,0,6
Sporting CP,Schalke 04,2014-2015,4,2,6
Maribor,Chelsea,2014-2015,1,1,2
Schalke 04,Chelsea,2014-2015,0,5,5
Sporting CP,Maribor,2014-2015,3,1,4
Chelsea,Sporting CP,2014-2015,3,1,4
Maribor,Schalke 04,2014-2015,0,1,1
Porto,BATE Borisov,2014-2015,6,0,6
Athletic Bilbao,Shakhtar Donetsk,2014-2015,0,0,0
Shakhtar Donetsk,Porto,2014-2015,2,2,4
BATE Borisov,Athletic Bilbao,2014-2015,2,1,3
BATE Borisov,Shakhtar Donetsk,2014-2015,0,7,7
Porto,Athletic Bilbao,2014-2015,2,1,3
Shakhtar Donetsk,BATE Borisov,2014-2015,5,0,5
Athletic Bilbao,Porto,2014-2015,0,2,2
BATE Borisov,Porto,2014-2015,0,3,3
Shakhtar Donetsk,Athletic Bilbao,2014-2015,0,1,1
Porto,Shakhtar Donetsk,2014-2015,1,1,2
Athletic Bilbao,BATE Borisov,2014-2015,2,0,2
Paris Saint-Germain,Malmö FF,2015-2016,2,0,2
Real Madrid,Shakhtar Donetsk,2015-2016,4,0,4
Shakhtar Donetsk,Paris Saint-Germain,2015-2016,0,3,3
Malmö FF,Real Madrid,2015-2016,0,2,2
Malmö FF,Shakhtar Donetsk,2015-2016,1,0,1
Paris Saint-Germain,Real Madrid,2015-2016,0,0,0
Shakhtar Donetsk,Malmö FF,2015-2016,4,0,4
Real Madrid,Paris Saint-Germain,2015-2016,1,0,1
Malmö FF,Paris Saint-Germain,2015-2016,0,5,5
Shakhtar Donetsk,Real Madrid,2015-2016,3,4,7
Paris Saint-Germain,Shakhtar Donetsk,2015-2016,2,0,2
Real Madrid,Malmö FF,2015-2016,8,0,8
VfL Wolfsburg,CSKA Moscow,2015-2016,1,0,1
PSV Eindhoven,Manchester United,2015-2016,2,1,3
Manchester United,VfL Wolfsburg,2015-2016,2,1,3
CSKA Moscow,PSV Eindhoven,2015-2016,3,2,5
CSKA Moscow,Manchester United,2015-2016,1,1,2
VfL Wolfsburg,PSV Eindhoven,2015-2016,2,0,2
Manchester United,CSKA Moscow,2015-2016,1,0,1
PSV Eindhoven,VfL Wolfsburg,2015-2016,2,0,2
CSKA Moscow,VfL Wolfsburg,2015-2016,0,2,2
Manchester United,PSV Eindhoven,2015-2016,0,0,0
VfL Wolfsburg,Manchester United,2015-2016,3,2,5
PSV Eindhoven,CSKA Moscow,2015-2016,2,1,3
Galatasaray,Atlético Madrid,2015-2016,0,2,2
Benfica,Astana,2015-2016,2,0,2
Astana,Galatasaray,2015-2016,2,2,4
Atlético Madrid,Benfica,2015-2016,1,2,3
Atlético Madrid,Astana,2015-2016,4,0,4
Galatasaray,Benfica,2015-2016,2,1,3
Astana,Atlético Madrid,2015-2016,0,0,0
Benfica,Galatasaray,2015-2016,2,1,3
Astana,Benfica,2015-2016,2,2,4
Atlético Madrid,Galatasaray,2015-2016,2,0,2
Galatasaray,Astana,2015-2016,1,1,2
Benfica,Atlético Madrid,2015-2016,1,2,3
Manchester City,Juventus,2015-2016,1,2,3
Sevilla,Borussia Mönchengladbach,2015-2016,3,0,3
Borussia Mönchengladbach,Manchester City,2015-2016,1,2,3
Juventus,Sevilla,2015-2016,2,0,2
Juventus,Borussia Mönchengladbach,2015-2016,0,0,0
Manchester City,Sevilla,2015-2016,2,1,3
Borussia Mönchengladbach,Juventus,2015-2016,1,1,2
Sevilla,Manchester City,2015-2016,1,3,4
Juventus,Manchester City,2015-2016,1,0,1
Borussia Mönchengladbach,Sevilla,2015-2016,4,2,6
Manchester City,Borussia Mönchengladbach,2015-2016,4,2,6
Sevilla,Juventus,2015-2016,1,0,1
Bayer Leverkusen,BATE Borisov,2015-2016,4,1,5
Roma,Barcelona,2015-2016,1,1,2
Barcelona,Bayer Leverkusen,2015-2016,2,1,3
BATE Borisov,Roma,2015-2016,3,2,5
BATE Borisov,Barcelona,2015-2016,0,2,2
Bayer Leverkusen,Roma,2015-2016,4,4,8
Barcelona,BATE Borisov,2015-2016,3,0,3
Roma,Bayer Leverkusen,2015-2016,3,2,5
BATE Borisov,Bayer Leverkusen,2015-2016,1,1,2
Barcelona,Roma,2015-2016,6,1,7
Bayer Leverkusen,Barcelona,2015-2016,1,1,2
Roma,BATE Borisov,2015-2016,0,0,0
Dinamo Zagreb,Arsenal,2015-2016,2,1,3
Olympiacos,Bayern Munich,2015-2016,0,3,3
Bayern Munich,Dinamo Zagreb,2015-2016,5,0,5
Arsenal,Olympiacos,2015-2016,2,3,5
Arsenal,Bayern Munich,2015-2016,2,0,2
Dinamo Zagreb,Olympiacos,2015-2016,0,1,1
Bayern Munich,Arsenal,2015-2016,5,1,6
Olympiacos,Dinamo Zagreb,2015-2016,2,1,3
Arsenal,Dinamo Zagreb,2015-2016,3,0,3
Bayern Munich,Olympiacos,2015-2016,4,0,4
Dinamo Zagreb,Bayern Munich,2015-2016,0,2,2
Olympiacos,Arsenal,2015-2016,0,3,3
Dynamo Kyiv,Porto,2015-2016,2,2,4
Chelsea,Maccabi Tel Aviv,2015-2016,4,0,4
Maccabi Tel Aviv,Dynamo Kyiv,2015-2016,0,2,2
Porto,Chelsea,2015-2016,2,1,3
Porto,Maccabi Tel Aviv,2015-2016,2,0,2
Dynamo Kyiv,Chelsea,2015-2016,0,0,0
Maccabi Tel Aviv,Porto,2015-2016,1,3,4
Chelsea,Dynamo Kyiv,2015-2016,2,1,3
Porto,Dynamo Kyiv,2015-2016,0,2,2
Maccabi Tel Aviv,Chelsea,2015-2016,0,4,4
Dynamo Kyiv,Maccabi Tel Aviv,2015-2016,1,0,1
Chelsea,Porto,2015-2016,2,0,2
Valencia,Zenit Saint Petersburg,2015-2016,2,3,5
Gent,Lyon,2015-2016,1,1,2
Lyon,Valencia,2015-2016,0,1,1
Zenit Saint Petersburg,Gent,2015-2016,2,1,3
Zenit Saint Petersburg,Lyon,2015-2016,3,1,4
Valencia,Gent,2015-2016,2,1,3
Lyon,Zenit Saint Petersburg,2015-2016,0,2,2
Gent,Valencia,2015-2016,1,0,1
Zenit Saint Petersburg,Valencia,2015-2016,2,0,2
Lyon,Gent,2015-2016,1,2,3
Valencia,Lyon,2015-2016,0,2,2
Gent,Zenit Saint Petersburg,2015-2016,2,1,3
Paris Saint-Germain,Arsenal,2016-2017,1,1,2
Basel,Ludogorets Razgrad,2016-2017,1,1,2
Ludogorets Razgrad,Paris Saint-Germain,2016-2017,1,3,4
Arsenal,Basel,2016-2017,2,0,2
Arsenal,Ludogorets Razgrad,2016-2017,6,0,6
Paris Saint-Germain,Basel,2016-2017,3,0,3
Ludogorets Razgrad,Arsenal,2016-2017,2,3,5
Basel,Paris Saint-Germain,2016-2017,1,2,3
Arsenal,Paris Saint-Germain,2016-2017,2,2,4
Ludogorets Razgrad,Basel,2016-2017,0,0,0
Paris Saint-Germain,Ludogorets Razgrad,2016-2017,2,2,4
Basel,Arsenal,2016-2017,1,4,5
Dynamo Kyiv,Napoli,2016-2017,1,2,3
Benfica,Beşiktaş,2016-2017,1,1,2
Beşiktaş,Dynamo Kyiv,2016-2017,1,1,2
Napoli,Benfica,2016-2017,4,2,6
Napoli,Beşiktaş,2016-2017,2,3,5
Dynamo Kyiv,Benfica,2016-2017,0,2,2
Beşiktaş,Napoli,2016-2017,1,1,2
Benfica,Dynamo Kyiv,2016-2017,1,0,1
Beşiktaş,Benfica,2016-2017,3,3,6
Napoli,Dynamo Kyiv,2016-2017,0,0,0
Dynamo Kyiv,Beşiktaş,2016-2017,6,0,6
Benfica,Napoli,2016-2017,1,2,3
Barcelona,Celtic,2016-2017,7,0,7
Manchester City,Borussia Mönchengladbach,2016-2017,4,0,4
Borussia Mönchengladbach,Barcelona,2016-2017,1,2,3
Celtic,Manchester City,2016-2017,3,3,6
Celtic,Borussia Mönchengladbach,2016-2017,0,2,2
Barcelona,Manchester City,2016-2017,4,0,4
Borussia Mönchengladbach,Celtic,2016-2017,1,1,2
Manchester City,Barcelona,2016-2017,3,1,4
Celtic,Barcelona,2016-2017,0,2,2
Borussia Mönchengladbach,Manchester City,2016-2017,1,1,2
Barcelona,Borussia Mönchengladbach,2016-2017,4,0,4
Manchester City,Celtic,2016-2017,1,1,2
Bayern Munich,Rostov,2016-2017,5,0,5
PSV Eindhoven,Atlético Madrid,2016-2017,0,1,1
Atlético Madrid,Bayern Munich,2016-2017,1,0,1
Rostov,PSV Eindhoven,2016-2017,2,2,4
Rostov,Atlético Madrid,2016-2017,0,1,1
Bayern Munich,PSV Eindhoven,2016-2017,4,1,5
Atlético Madrid,Rostov,2016-2017,2,1,3
PSV Eindhoven,Bayern Munich,2016-2017,1,2,3
